PART NO,DESCRIPTION,MRP-Effective April 2022
36SG4002,SPACER,57
36SG4003,FAN SPACER,495
36SG4004,FAN SPACER,562
36SG4005,FAN,963
3713M041,HOUSING-FLYWHEEL FPR 1004.4 CATTERPILLAR,18684
3717J051,SUMP LUBRICATING OIL,17433
3735A011,CLAMP LUB OIL SUCTION PIPE,153
3746X071,IMPELLER WATER PUMP,158
3751C151,HOUSING,566
3753R111,COVER TIMING CASE INSPECTION,149
3766P052,ELBOW INDUCTION MANIFOLD (TURBOCHARGER),703
3766P094,ADAPTOR TURBOCHARGER LUB OIL FEED,264
3766P097,ADAPTOR LUB.OIL TRANSFER,257
3766T041,ELBOW INDUCTION MANIFOLD,1990
3771A073,BODY-W/P REAR,1408
3771K025,HOUSING THERMOSTAT,2536
3771K092,HOUSING THERMOSTAT(WATER OUTLET BODY),2639
3771K101,CONNECTION WATEROUTLET,975
3771K111,HOUSING THERMOSTAT,2354
3773T091,ADAPTOR LUB OIL FILTER,201
3778H074,MANIFOLD EXHAUST,1883
3778H111, MANIFOLD EXHAUST,1788
3822A021,BRACKET ALTERNATOR FRONT,163
3823P004,BRACKET TURBOCHARGER OUTLET ELBOW SUPPRT,1124
3824A021,BRACKET SUCTION PIPE,200
3861A013,BRACKET ALTERNATOR LEVER SUPPORT,257
38C10025,ADAPTOR_IDLER_GEAR,594
38C20020,ADAPTOR_FUEL_INJECTION_PUMP,476
38C20026,ADAPTOR,225
38C20027,ADAPTOR,142
38C20055,SPACER_HOUSING,4810
38DE0056,FLANGE LUB.OIL DELIVERY PIPE,168
38DE0062,ADAPTOR - BREATHER,155
38DE0067,ELBOW(ALUMINIUM-PCV FITMENT),204
38S30055,ADAPTOR_LUB_OIL_PRESSURE_GAUGE,45
38SG4003,ADAPTOR TURBO-EXHAUST,503
38SG4004,TURBO ADAPTOR,657
40C20005,FLYWHEEL,9819
4111A021,GEAR LUB.OIL PUMP IDLER ASSEMBLY,759
4111K064,BALANCER ASSEMBLY,75048
4113H052,HOUSING FAN DRIVE ASSEMBLY,3397
4113H053,HOUSING FAN DRIVE ASSEMBLY,2860
4113H058,HOUSING FAN DRIVE,3397
4121C017,PIPE FUEL INJECTION PUMP VENTING ASSEMBL,96
4121C021,PIPE FUEL INJECTION PUMP VENTING (ASSEMBLY),83
4126X124,JET PISTON COOLING,300
4131A035,WATER PUMP ASSEMBLY,2655
4132F056,PUMP LUB OIL ASSEMBLY,3969
4134C004,FILLER LUB OIL ASSEMBLY,321
4138A017,VALVE PISTON COOLING ASSEMBLY,349
4138A039,VALVE L.O.RELIEF ASSEMBLY,1722
4181A026,RING PISTON ASSEMBLY,1880
41C10013,GEAR_BALANCER_SHAFT,321
41C20002,GEAR_CRANK_SHAFT,1021
41C20010,RING_GEAR_STARTER,970
41C20017,GEAR - FIP,2384
41C20018,GEAR_IDLER,1168
41C20019,GEAR_CAMSHAFT,2085
41C20020,GEAR_BALANCER_SHAFT,912
41C20026,GEAR_FUEL_INJECTION_PUMP,2794
41C20027,GEAR_CAMSHAFT,2085
41DE0001,RING_GEAR_STARTER,1643
41DE0028,GEAR_CRANK_SHAFT,1303
41DE0030,GEAR CAMSHAFT,2513
41DE0032,GEAR_CRANK_SHAFT,1507
41DE0035,GEAR FUEL INJECTION PUMP,2713
41DE0042,GEAR IN LINE FUEL INJECTION PUMP(STEEL),2984
41DE0056,PTO GEAR,1555
41DE0059,GEAR-FIP,3034
41DE0062,GEAR_FUEL_INJECTION_PUMP,2847
41S30047,GEAR F.I.P FOR TIII SERIES ENGINE,1054
41S30049,GEAR_POWER_TAKE_OFF,1302
41S30052,GEAR_IDLER,2397
41S30053,GEAR_FUEL_INJECTION_PUMP,3337
41S30066,GEAR_CRANK_SHAFT,1056
41S30067,GEAR_IDLER,2088
41S30071,GEAR_IDLER,2580
41SG3001,GEAR_CAMSHAFT,1349
41SG3007,GEAR_FUEL_INJECTION_PUMP,3501
41SG3011,GEAR - HYDRAULIC PUMP (NHI),2905
41SG3012,GEAR OUTER RING HYDRAULIC PUMP,3796
41SG3037,CRANKSHAFT GEAR FOR SJV326 ENGINE,6821
41SG3041,FIP GEAR - CB18 FOR SJV326 ENGINE,15171
41SG3043,PTO GEAR - HSS ONLY FOR SJV326 ENGINE,7417
41SG3049,GEAR,3515
41SG3052,GEAR_FUEL_INJECTION_PUMP,1080
41SG3053,GEAR_CAMSHAFT,1398
41SG3055,FIP GEAR,3337
41SG3057,HYDRAULIC PUMP GEAR,1858
41SG3058,GEAR_CRANKSHAFT,2363
41SG3062,GEAR FIP CB18 PUMP,3506
41SG3063,GEAR FIP - VE PUMP,3447
41SG3064,GEAR_HYDRAULIC_PUMP,1576
41SG3067,GEAR LOP,1048
41SG3069,GEAR_FUEL_INJECTION_PUMP,1310
41SG3070,GEAR - CAMSHAFT WITHOUT SENSOR PIN HOLE,3759
41SG3079,GEAR_CRANK_SHAFT,1221
41SG4034,GEAR_FUEL_INJECTION_PUMP,3515
41SG4036,GEAR FIP FOR SJ436 NA ENGINE,3515
41SG4056,FIP GEAR (SAPL),3337
41SG4068,FIP GEAR,3515
42C10001,GUIDE_VALVE,142
42DE0003,GUIDE -INLET VALVE,105
42S30004,VALVE GUIDE,63
42SG3002,GUIDE_VALVE,94
43C20001,HOLDER - ALTERNATOR,218
44C20001,HOUSING_REAR_END_OIL_SEAL,877
44DE0019,HOUSING FLY WHEEL,8457
44DE0051,HOUSING FLYWHEEL - S.A.E.3,10563
44DE0057,HOUSING FLYWHEEL - SAE 1,19654
44DE0059,HOUSING FLYWHEEL,14174
44DE0100,HOUSING FLYWHEEL,10563
44DE0119,HOUSING FLYWHEEL,10563
44DE0131,CASE TIMING(1004 INLINE PUMP),6138
44DE0133,TIMING CASE,8686
44DE0165,HOUSING_FLYWHEEL,9925
44DE0185,TIMING CASE CAST IRON,8686
44DE0196,HOUSING_FLYWHEEL,15776
44DE0215,HOUSING_FLYWHEEL,16352
44DE0237,TIMING CASE,9818
44DE0241,FLYWHEEL HOUSING,16352
44S20138,CASE TIMING FOR TAFE EXPORT -4 HOLES,4750
44S20164,CASE - TIMING FOR S217.2 WITH TIMER  AND P.T.O. PROVISION FOR TAFE,3907
44S20219,TIMING CASE,5333
44S30074,ADAPTOR_PLATE_TRANSMISSION,7085
44S30102,HOUSING FLYWHEEL -S324(SONALIKA),15679
44S30123,CASE TIMING(WITH FILLER AND PTO PROVISN),3065
44S30125,ADAPTOR_PLATE_TRANSMISSION,7670
44S30132,TIMING_CASE,4451
44S30140,HOUSING_FLYWHEEL,9487
44S30144,TIMING_CASE,4510
44S30146,TIMING_CASE,4521
44S30158,HOUSING FLYWHEEL(FOR  ACE  ENGINEERING),15608
44S30162,CASE TIMING( FOR S325 WITH VE PUMP),3913
44S30166,TIMING_CASE,4685
44S30177,ADAPTOR PLATE FOR NHI,8408
44S30182,ADAPTOR_PLATE_TRANSMISSION,7851
44S30183,HOUSING_FLYWHEEL,21637
44S30187,TIMING_CASE,4612
44S30188,TIMING CASE (LIVE HYDRUALICS),3765
44S30199,TIMING CASE(CAST IRON) ALT PART NO (44S30145),4302
44S30202,TIMING_CASE,4725
44S30205,HOUSING_FLYWHEEL,11433
44S30207,ADAPTOR_PLATE_TRANSMISSION,7157
44S30209,TIMING_CASE,4456
44S30210,HOUSING_FLYWHEEL,13009
44S30214,TIMING CASE,4244
44S30216,TIMING_CASE,4634
44S30217,TIMING CASE (LIVE HYDR-P.T.O)-FOR TREM IIIA CHALLENGER-DELPHI F.I.P,3765
44S30220,TIMING CASE (PROVISION FOR TANDEM HY.PUMP-DELPHI PUMP BORE DIA),4152
44S30221,TIMING CASE FOR TMTL-TIII A S325 - F4 (DELPHI F.I.P BORE DIA),4135
44S30229,TIMING_CASE,4931
44S30235,TIMING_CASE,5189
44S30236,TIMING CASE,4302
44S30245,TIMING_CASE,5195
44S30246,TIMING_CASE,4634
44S30247,TIMING CASE,4725
44S30250,ADAPTOR PLATE,8336
44S30251,HOUSING_FLYWHEEL,12522
44S30252,ADAPTOR_PLATE_TRANSMISSION,6900
44S30257,TIMING_CASE,4796
44S30258,"TIMING CASE (BASE PART NO. 44S30258, ONLY MACHINING CHANGE IN FIP BORE DIA)",4135
44S30259,TIMING_CASE,4923
44SG3001,TIMING_CASE,5844
44SG3003,ADAPTOR PLATE FLYWHEEL HOUSING( FOR SJ327 ENGINE),11153
44SG3005,TIMING_CASE,5706
44SG3008,TIMING CASE,5267
44SG3010,TIMING_CASE,5706
44SG3017,CASE TIMING,5132
44SG3022,HOUSING_FLYWHEEL,12742
44SG3023,TIMING CASE,5132
44SG3028,TIMING CASE FOR SJ327(SAME AS 44SG3010 ONLY WATER RECOVERY POTTLE POSITION HOLE CHANGES),5007
44SG3032,TIMING_CASE,5844
44SG3033,TIMING_CASE,5706
44SG3036,TIMING CASE WITH 2 HOLE P.T.O MOUNTING TO SUIT ROTARY PUMP,5706
44SG3038,TIMING CASE  (SJ327 WITH S3 FRONT END FOR CUMMINS),3913
44SG3041,ADAPTOR_PLATE_(GIMA_TRANSMISSION),13210
44SG3053,TIMING CASE,5133
44SG3054,FLYWHEEL HOUSING FOR JCB,15366
44SG3055,TIMING CASE FOR JCB,5706
44SG3056,TIMING_CASE,5706
44SG3069,TIMING_CASE,5706
44SG3070,TIMING_CASE,5986
44SG3071,ADAPTOR PLATE (FOR EU STAGE II),13210
44SG3072,TIMING CASE (P.T.O),5706
44SG3075,TIMING_CASE,5428
44SG3076,ADAPTOR_PLATE_TRANSMISSION,7140
44SG3080,TIMING CASE,5706
44SG3091,TIMING_CASE,5715
44SG4024,TIMING CASE,5007
44SG4025,CASE TIMING,5267
44SG4029,TIMING_CASE,5706
44SG4030,TIMING CASE (INLINE PUMP-MODIFIED HOLES TO AVOID REAR END MOUNTING PROBLEM),5706
44SG4043,HOUSING_FLYWHEEL,15561
44SG4045,TIMING CASE (TSJ436-COMPRESSOR),6654
44SG4046,TIMING CASE (INLINE PUMP WITH COMPRESSOR PROVISION),5007
44SG4047,TIMING CASE FOR COMPRESSOR FITMENT (ROTARY PUMP),5007
44SG4051,TIMING CASE,5007
44SG4058,TIMING CASE - 2 HOLE PTO,5133
44SG4062,TIMING CASE (FILLER & COMPRESSOR),5844
44SG4068,TIMING CASE FOR ALL OTHER DETAILS & DIMENSIONS (REFER PT.NO.44SG4029),5706
44SG4085,TIMING_CASE_FOR _KION_WITH_AIR_COMPRESSOR_MOUNTING,6030
44SG4094,TIMING_CASE,5715
44SG4098,FLYWHEEL_HOUSING,15187
44SG4100,FLYWHEEL_HOUSING,15576
45C20001,HUB_IDLER_GEAR,134
45C20004,HUB_IDLER_GEAR,2748
45S20006,HUB IDLER UPPER,490
45SG3005,HUB_IDLER_GEAR,470
46C20001,WATER PUMP IMPELLER,179
47DE0004,INSERT - INLET VALVE SEAT,318
47DE0005,INSERT - EX. VALVE SEAT,314
47SJ3001,INSERT_VALVE_SEAT_AIR_INTAKE,226
47SJ3002,INSERT_VALVE_SEAT_EXHAUST,218
49C10020,JOINT_AIR_INTAKE_MANIFOLD,10
49C10021,GASKET,47
49C10023,JOINT_THERMOSTAT,18
49C10028,JOINT_VALVE_COVER,10
49C10049,JOINT_HOUSING_FLYWHEEL,173
49C10051,JOINT_CYLINDER_BLOCK_TO_LUB_OIL_PAN,139
49C10052,JOINT,16
49C10053,JOINT,12
49C10055,JOINT_LUB_OIL_SUCTION_PIPE,10
49C10056,JOINT_ACTUATOR,17
49C10058,JOINT -  WATER INLET CONNECTION,25
49C10065,JOINT_LUB_OIL_FILLER,62
49C10066,JOINT,29
49C10067,GASKET_CYLINDER_HEAD,387
49C20001,JOINT,11
49C20002,GASKET_EXHAUST_MANIFOLD,88
49C20003,JOINT_VALVE_COVER,128
49C20004,JOINT_THERMOSTAT,14
49C20007,JOINT_REAR_END_OIL_SEAL,70
49C20008,JOINT - SUMP TO BLOCK,129
49C20009,JOINT_COVER_TIMING_CASE,495
49C20010,JOINT_LUB_OIL_FILTER_HEAD_TO_CYLINDER_BLOCK,11
49C20011,JOINT_WATER_PUMP_BACK_PLATE,36
49C20012,JOINT,88
49C20013,JOINT_LUB_OIL_FILLER,9
49C20014,JOINT-CAMBOX MOUNTING,15
49C20017,JOINT - THROTTLE BRACKET,9
49C20018,JOINT,23
49C20019,JOINT,5
49C20035,GASKET_CYLINDER_HEAD,455
49C20044,JOINT,47
49C20045,JOINT TURBO TO EXHAUST PIPE,52
49C20046,JOINT_TURBO_CHARGER_OIL_DRAIN,34
49C20047,JOINT_CYLINDER_BLOCK_TO_LUB_OIL_PAN,478
49C20060,JOINT_FEED_PUMP,29
49DE0006,GASKET_EXHAUST_MANIFOLD_OUTLET_FLANGE,26
49DE0008,JOINT STARTER MOTOR TO DIST PIECE,30
49DE0010,JOINT,79
49DE0063,JOINT REAR END COVER ASSY,49
49DE0110,GASKET_EXHAUST_MANIFOLD_OUTLET_FLANGE,41
49DE0137,JOINT FLYWHEEL HOUSING(FOR CATER PILLAR),14
49DE0138,JOINT_LUB_OIL_FILLER,15
49DE0139,JOINT FLYWHEEL HOUSING BOTTOM COVER,34
49DE0140,JOINT - TIMING CASE TO COVER FOR S3 LIVE HYDRAULICS,195
49DE0141,GASKET MICO FEED PUMP,15
49DE0152,GASKET_EXHAUST_MANIFOLD_OUTLET_FLANGE,50
49DE0153,JOINT CYLINDER HEAD COVER,252
49DE0154,JOINT EXHAUST MANIFOLD,500
49DE0155,JOINT INLET MANIFOLD,104
49DE0156,JOINT CYLINDER  HEAD REAR COVER,50
49DE0157,JOINT_TURBO_CHARGER,468
49DE0158,GASKET_TURBO_CHARGER,268
49DE0162,JOINT _TURBOCHARGER_OIL_DRAIN,10
49DE0171,JOINT_TURBO_CHARGER,82
49DE0172,JOINT TURBOCHARGER - INLET,17
49DE0176,JOINT DIFFUSER TO INDUCTION,18
49DE0177,JOINT TIMING CASE TO COVER,608
49DE0242,JOINT_WATER_OUTLET_CONNECTION,84
49DE0323,JOINT_LUB OIL FILLER,46
49S20077,JOINT L.O.SUMP TO BLOCK -S2,168
49S20078,GASKET EXHAUST MANIFOLD TO CYL.HEAD,20
49S20080,JOINT CYLINDER HEAD COVER,83
49S20085,JOINT_AIR_INTAKE_MANIFOLD,28
49S20086,GASKET CYL.HEAD - S217,143
49S20144,GASKET - CYLINDER HEAD NON RE-TORQUE(VICTOR GASKETS),520
49S20170,JOINT BLOCK TO TIMING CASE,154
49S30081,JOINT_LUB_OIL_PAN_FRONT,14
49S30105,JOINT_LUB_OIL_PAN_REAR,17
49S30108,GASKET CYL.HEAD,689
49S30113,JOINT CYLINDER HEAD COVER OLD MODEL S3,110
49S30116,JOINT TIMER INSPECTION COVER,29
49S30117,SUMP JOINT S3,153
49S30118,JOINT FRONT COVER TO T/CASE(LEAKLESS),177
49S30119,JOINT REAR END HSG.TO CYL.BLOCK(LEAKLESS,53
49S30120,JOINT CYLINDER HEAD REAR END(LEAKLESS),26
49S30121,JOINT WATER PUMP BACK PLATE,16
49S30122,JOINT_FUEL_INJECTION_PUMP,12
49S30123,JOINT LUB.OIL FILTER TO BLOCK(LEAKLESS),5
49S30126,JOINT TIMING CASE TO CYL.BLOCK(LEAKLESS),162
49S30127,GASKET_CYLINDER_HEAD,825
49S30128,JOINT CYLINDER HEAD WATER OUTLET BODY TO HEAD,13
49S30133,JOINT_VALVE_COVER,128
49S30135,JOINT_TIMING_CASE_COVER,442
49S30142,JOINT_TIMING_CASE_COVER,195
49S30150,JOINT_LUB_OIL_FILLER,10
49S30151,JOINT_CYLINDER_BLOCK_TO_FLYWHEEL_HOUSING,170
49S30163,JOINT_LUB_OIL_FILLER,32
49S30164,JOINT_TIMING_CASE_COVER,195
49S30167,JOINT -PDC-WATER INLET CONNECION,12
49S30169,JOINT_TIMING_CASE_COVER,206
49S30187,GASKET_CYLINDER_HEAD,1592
49S30188,JOINT_VALVE_COVER,120
49S30190,JOINT _REAR_END_OIL_SEAL,83
49S30191,JOINT - TIMING CASE COVER (TAFE),233
49S30192,JOINT_TIMING_CASE,201
49S30193,JOINT_WATER_INLET_CONNECTION,23
49S30195,JOINT_WATER_OUTLET_BODY,31
49S30196,JOINT_WATER_PUMP_BACK_PLATE,30
49S30197,JOINT_WATER_OUTLET_CONNECTION,32
49S30198,GASKET_CYLINDER_HEAD_REAR_PLATE,46
49S30199,JOINT_TACHO_DRIVE,29
49S30201,JOINT_LUB_OIL_FILTER,15
49S30203,JOINT_AIR_INTAKE_MANIFOLD,75
49S30205,JOINT_LUB_OIL_FILLER,54
49S30207,JOINT_FEED_PUMP,21
49S30266,JOINT_LUB_OIL_FILLER,44
49S30267,JOINT_LUB_OIL_FILLER,32
49S30277,GASKET_EXHAUST_MANIFOLD,10
49S30322,JOINT_VALVE_COVER,134
49SG3001,GASKET_CYLINDER_HEAD,979
49SG3002,JOINT INLET MANIFOLD,101
49SG3003,JOINT WATER OUTLET BODY,16
49SG3004,JOINT WATER INLET BODY,9
49SG3005,GASKET_EXHAUST_MANIFOLD,154
49SG3008,JOINT CYL. HEAD COVER (SHEET METAL),229
49SG3009,JOINT SUMP TO BLOCK ASSEMBLY,128
49SG3010,JOINT TIMING CASE TO BLOCK,218
49SG3023,JOINT_VALVE_COVER,126
49SG3026,JOINT_HYDRAULIC_PUMP,30
49SG3032,JOINT PTO BLANKING PLATE,119
49SG3033,JOINT - LUB.OIL FILLER FIXING PLATE,16
49SG3034,JOINT_LUB_OIL_FILLER,22
49SG3042,JOINT-TIMING CASE TO COVER,201
49SG3044,JOINT_LUB_OIL_FILLER,34
49SG3045,GASKET_CYLINDER_HEAD,1907
49SG3046,GASKET_INTAKE_MANIFOLD,75
49SG3047,GASKET_EXHAUST_MANIFOLD,184
49SG3048,GASKET_EXH_MANIFOLD_TO_TURBOCHARGER,36
49SG3049,GASKET_INTAKE_ELBOW,25
49SG3050,GASKET,22
49SG3053,GASKET_WATER PUMP,143
49SG3054,GASKET_EGR_VALVE_&_COOLER,19
49SG3055,JOINT_POWER_TAKE_OFF_BLANKING,36
49SG3056,JOINT_LUB_OIL_SUCTION_PIPE_FLANGE,12
49SG3058,GASKET_DELIVERY_PIPE_FLANGE_(LOP),12
49SG3065,JOINT_TIMING_CASE_COVER,313
49SG3069,JOINT,12
49SG3072,JOINT_TIMING_CASE_COVER,313
49SG3073,JOINT_TIMING_CASE,225
49SG3074,JOINT_WATER_INLET_CONNECTION,22
49SG3075,JOINT_WATER_OUTLET_BODY,21
49SG3076,JOINT_AIR_INTAKE_MANIFOLD,70
49SG3090,JOINT,436
49SG3091,JOINT_LUB_OIL_FILLER,86
49SG3092,JOINT_FUEL_INJECTION_PUMP,60
49SG3105,GASKET_TURBO_COMPRESSOR_OUTLET,27
49SG3128,GASKET_OIL_FILLER,599
49SG3131,GASKET_DOC,49
49SG3153,CYLINDER_HEAD_GASKET,1320
49SG3160,GASKET_CYLINDER_HEAD,1234
49SG4011,JOINT_AIR_INTAKE_MANIFOLD,88
49SG4012,GASKET_EXHAUST_MANIFOLD,315
49SG4016,GASKET_CYLINDER_HEAD,1182
49SG4025,JOINT_VALVE_COVER,149
49SG4043,JOINT_CYLINDER_BLOCK_TO_LUB_OIL_PAN,184
49SG4057,JOINT_CYLINDER_BLOCK_TO_LUB_OIL_PAN,184
49SG4060,JOINT_CYLINDER_BLOCK_TO_LUB_OIL_PAN,132
49SG4147,GASKET_DOC_OUTLET,77
50C20003,KEY_WOODRUFF,10
50C20004,KEY_WOODRUFF,11
50C20006,KEY_WOODRUFF,18
52C20005,LEVER_ROCKER,234
52C20015,LEVER_ALTERNATOR,256
52C20016,LEVER_ALTERNATOR,582
52DE0017,LEVER ALTERNATOR ADJ,318
52DE0076,LEVER ALTERNATOR - 1004 JCBNA,115
52DE0087,LEVER_ALTERNATOR,476
52DE0093,LEVER ALTERNATOR FOR ST440 ENGINE TO LIST NO 6122 (WITHOUT PLATE),261
52DE0834,LEVER (SEE 52DE0051),99
52S20082,LEVER -ALTERNATOR ADJUSTING,844
52S30078,LEVER_ALTERNATOR,192
52S30080,LEVER ALTERNATOR NEW HOLLAND,144
52S30083,LEVER_ALTERNATOR,187
52S30091,LEVER_ALTERNATOR,329
52S30092,LEVER-ALTERNATOR,287
52S30096,LEVER_ALTERNATOR,581
52S30097,LEVER ALTERNATOR,180
52SG3001,LEVER_ROCKER_SHAFT,322
52SG3008,LEVER ALTERNATOR,191
52SG3010,LEVER ALTERNATOR,340
52SG3017,LEVER_ALTERNATOR,194
52SG3019,LEVER_ALTERNATOR_CABIN_APPLICATION,1073
52SG3020,ALTERNATOR_LEVER_OPEN_ORCHARD_APPLICATION,876
52SG3021,LEVER_AC_COMPRESSOR,827
52SG4014,LEVER ALTERNATOR,183
52SG4015,LEVER_ALTERNATOR,264
53C20001,CYLINDER LINER,830
53C20002,CYLINDER LINER - PREFINISHED,905
53C20003,LINER_CYLINDER_BLOCK,909
53DE0005,LINER_CYLINDER_BLOCK,726
53DE0006,LINER_CYLINDER_BLOCK,816
53DE05PF,PREFINISHED LINER  S325/S433,747
53DE05PF/3,Prefinished Liner (Engine Set) S325/S433-(Tractor Parts),2240
53DE06PF,PREFINISHED LINER  S324,785
53DE06PF/3,Prefinished Liner S324(Engine Set)-(Tractor Parts),2353
53S30013,LINER_CYLINDER_BLOCK,922
53SG3004,LINER_CYLINDER_BLOCK,843
53SG3007,LINER_CYLINDER_BLOCK,963
53SG3007/3,LINER - SJ327- 95 mm Bore - Engine Set,2914
53SG3010,LINER_CYLINDER_BLOCK,747
53SG3010/3,Liner (Engine Set),2240
53SG3017,CYLINDER LINER,747
53SG3017/3,Liner (Engine Set),2240
53SG3019,LINER_CYLINDER_BLOCK,906
5406100B,"KIT,ENGINE PISTON",4977
5406101B,"KIT,PISTON RING",2584
5406102B,"KIT,CON.ROD.BEARING",143
54C10021,MANIFOLD_EXHAUST,546
54C10022,MANIFOLD_AIR_INTAKE,312
54C20001,MANIFOLD_EXHAUST,1035
54C20006,MANIFOLD_AIR_INTAKE,277
54C20010,MANIFOLD_EXHAUST,926
54C20011,EXHAUST MANIFOLD,1161
54DE0001,MANIFOLD EXHAUST P3 NEW TYPE,1506
54DE0061,MANIFOLD INLET,864
54DE0064,MANIFOLD INLET,4063
54DE0072,INLET MANIFOLD,4340
54DE0081,EXHAUST MANIFOLD,1624
54DE0098,INLET MANIFOLD (ONE ADDITIONAL BOSS ADDED IN 54DE0072),2745
54DE0102,EXHAUST MANIFOLD TO LIST NO:6122,2991
54DE0103,MANIFOLD_AIR_INTAKE,6764
54DE0105,MANIFOLD_AIR_INTAKE,6850
54DE0106,MANIFOLD_EXHAUST,4260
54S20047,MANIFOLD EXHAUST,1338
54S20056,MANIFOLD EXHAUST,1655
54S20066,MANIFOLD EXHAUST,892
54S20087,INDUCTION MANIFOLD,541
54S20089,INDUCTION MANIFOLD,541
54S30028,MANIFOLD_EXHAUST,1623
54S30029,MANIFOLD EXHAUST S3,1550
54S30034,MANIFOLD_EXHAUST,1828
54S30041,MANIFOLD_EXHAUST,2246
54S30045,MANIFOLD INLET,609
54S30053,MANIFOLD_AIR_INTAKE,626
54S30058,MANIFOLD_AIR_INTAKE,563
54S30063,MANIFOLD_EXHAUST,1756
54S30065,EXHAUST MANIFOLD FOR EICHER,1768
54S30068,MANIFOLD_EXHAUST,1604
54S30074,MANIFOLD_AIR_INTAKE,617
54S30077,MANIFOLD-EXHAUST,2259
54S30080,MANIFOLD_EXHAUST,1663
54S30083,MANIFOLD_AIR_INTAKE,627
54S30084,MANIFOLD_AIR_INTAKE,582
54S30090,MANIFOLD_EXHAUST,1896
54S30091,MANIFOLD_AIR_INTAKE,718
54S30097,MANIFOLD_EXHAUST,1617
54S30099,EXHAUST MANIFOLD,2020
54S30100,MANIFOLD_AIR_INTAKE,752
54S30107,INDUCTION MANIFOLD (COMPRESSOR TOP OPENING),1058
54S30109,INDUCTION MANIFOLD,1076
54S30112,MANIFOLD_EXHAUST,2273
54S30113,MANIFOLD_EXHAUST,2464
54SG3006,MANIFOLD_EXHAUST,3483
54SG3012,MANIFOLD_EXHAUST,4106
54SG3013,MANIFOLD_AIR_INTAKE,1824
54SG3016,MANIFOLD_AIR_INTAKE,1808
54SG3025,MANIFOLD_EXHAUST,4773
54SG3028,MANIFOLD_AIR_INTAKE,2958
54SG3029,MANIFOLD_EXHAUST,3646
54SG3030,MAINIFOLD_AIR_INTAKE,2874
54SG3031,MANIFOLD_EXHAUST,3819
54SG3032,INTAKE MANIFOLD FOR SJV326 ENGINE,3763
54SG3033,EXHAUST_MANIFOLD,2760
54SG3042,MANIFOLD_EXHAUST,2985
54SG3045,MANIFOLD_AIR_INTAKE,3200
54SG3046,INTAKE_MANIFOLD_PDC,1493
54SG3047,INLET MANIFOLD - SJV326 - TIER 2,1676
54SG3053,MANIFOLD_EXHAUST,3721
54SG3057,MANIFOLD_EXHAUST,3116
54SG3059,MANIFOLD_AIR_INTAKE,3302
54SG3063,MANIFOLD_AIR_INTAKE,5375
54SG4014,MANIFOLD INLET,3598
54SG4015,MANIFOLD EXHAUST,5097
54SG4017,MANIFOLD_EXHAUST,4875
54SG4018,MANIFOLD_AIR_INTAKE,3670
54SG4027,MANIFOLD INDUCTION,3598
54SG4034,MANIFOLD_EXHAUST,4485
54SG4041,MANIFOLD_AIR_INTAKE,3861
54SG4044,MANIFOLD_AIR_INTAKE,3729
54SG4052,MANIFOLD_EXHAUST,5312
54SG4055,EXHAUST MANIFOLD,5381
54SG4061,MANIFOLD_AIR_INTAKE,7364
54SG4067,MANIFOLD_AIR_INTAKE,2963
54SG4068,MANIFOLD_AIR_INTAKE,2883
56DE0005,SLEEVE,90
57C10018,NUT,70
57C20001,NUT_CONNECTING_ROD,15
57C20003,NUT,9
57C20005,NUT,8
57C20006,NUT,6
57C20010,NUT ADJUSTING BOLT - MAX FUEL / SIDE COVER CAM BOX(M4X0.7),5
57DE0012,NUT,121
57DE0013,NUT,40
57DE0072,NUT 5/8 U.N.F,12
57DE0073,FLANGED NUT (SEE SKCH3272),3
57DE0074,FLANGED NUT,5
57DE0102,FLANGED NUT - (M10*1.25) [ REF:SKCH 3272],9
57DE0103,NUT,10
57DE0107,NUT-CYL. HEAD COVER RETAINING,40
57DE0842,CON.ROD NUT P3 NYLOC TYPE,31
57S30051,NUT,10
57S30098,NUT (M8) LUB OIL FILLER,7
57SG3001,57sg3001.prt,19
57SG3013,NUT,8
57SG4015,NUT,9
62C20002,HOSE,149
62C20004,PIPE,70
62C20012,HOSE,81
62C20018,LUB_OIL_FILLER_ASSEMBLY,2577
62C20025,PIPE_TURBO_CHARGER_OIL_FEED,652
62C20026,PIPE_TURBO_CHARGER_OIL_DRAIN,836
62C20034,PIPE,278
62C20035,PIPE,281
62C20037,ELBOW_EXHAUST_MANIFOLD,860
62C20040,PLATE_BREATHER_CONNECTOR_PIPE,1294
62C20045,HOSE,173
62DE0184,PIPE - OIL COOLER WATER RAIL,216
62DE0185,PIPE OIL COOLER WATER INLET,344
62DE0186,PIPE OIL COOLER WATER OUTLET,350
62DE0201,PIPE PCV TO INLET MANIFOLD,423
62DE0205,PIPE&HOSE PCV OIL DRAIN,860
62DE0217,PIPE-LUB OIL COOLER OUTLET,318
62DE0218,PIPE OIL COOLER WATER INLET,246
62DE0219,OIL COOLER PIPE WATER OUT,312
62DE0221,PIPE ASSY-LUB OIL COOLER (INLET),192
62S30196,PIPE_BREATHER_TO_AIR_FILTER,462
62S30197,HOSE,648
62S30212,PIPE,249
62S30225,PIPE_BREATHER,375
62SG3001,PIPE_LUB_OIL_SEPERATOR,54
62SG3002,ELBOW,206
62SG3003,HOSE,899
62SG3004,HOSE,706
62SG3005,HOSE,550
62SG3007,ELBOW,248
