PART NO,DESCRIPTION,MRP-Effective April 2022
00490222,GASKET CYLINDER HEAD,604
00490224,JOINT TMG CASE FRONT COVER TO WP,17
00490227,JOINT DUST CAP VENTURI BODY,4
00490228,JOINT EXHAUST MANIFOLD,15
00490255,JT CYL HEAD FRONT COVER TO WATER OUTLET,8
00490391,JT WATER OUTLET TO BY-PASS CONNECTION,5
00490482,JOINT CYLINDER HEAD WATER OUTLET BODY TO HEAD,24
00490484,JOINT WATER PUMP BACKPLATE,22
00490485,JOINT CYL HEAD REAR END,23
00490486,JOINT CYLINDER BLOCK WATER INLET CONN.,10
00490514,JOINT CYLINDER BLOCK TO LUB OIL FILTER,10
00490685,JOINT F.I.P. TO T.C (17 mm DIA SHAFT),23
00490725,JOINT L O F,10
00500002,KEY_LUB_OIL_PUMP_DRIVEN_GEAR,10
00500006,KEY_WATER_PUMP_PULLEY,25
00500008,KEY FUEL PUMP DRIVE TO FUEL PUMP,12
00500009,KEY,13
00500012,KEY CRANKSHAFT/CAMSHAFT GEAR,25
00500168,KEY_CRANKSHAFT,41
00500521,KEY CRANKSHAFT,53
00530002,LINER CYLINDER BLOCK,690
00540069,MANIFOLD EXHAUST,1490
00540103,WATER MANIFOLD,784
00560244,OLIVE,21
00566004,OLIVE FUEL OIL PIPE,6
00566005,OLIVE,7
00570002,NUT,4
00570003,NUT,4
00570004,NUT,7
00570005,NUT,4
00570006,NUT,23
00570113,LOCK NUT SCREW TAPPET ADJUSTING P SERIES,6
00570252,NUT CYLINDER HEAD RETAINING STUD,15
00571028,NUT,8
00571350,NUT,5
00575224,NUT ROCKER SHAFT,10
00576002,NUT,4
00576004,NUT,7
00576052,NUT,10
00576112,NUT (REFER BRISCH 2441801),13
00576116,NUT TURBOCHARGER LUB.OIL FEED PIPE,30
00600001,PAD TIMING CHAIN REACTION,46
00610011,SPLIT_COTTER_PINS_ROUND,4
00620196,FLEXIBLE PIPE,144
00640050,O'RING,11
00650203,PLUG,35
00650204,PLUG,15
00650507,PLUG_ROCKER_SHAFT,13
00650540,PLUG-1/2PTF,45
00650542,PLUG,23
00650545,PLUG FLYWHEEL HOUSING,9
00650563,PLUG,26
00650564,PLUG CAMSHAFT CHAMBER END,29
00650566,PLUG,11
00650577,PLUG CYLINDER BLOCK REAR FACE,14
00650586,PLUG,23
00650588,PLUG,99
00650593,PLUG,15
00650594,PLUG CYL.BLK,30
00650664,PLUG,15
00650710,PLUG,25
00650713,PLUG,19
00650717,PLUG,7
00650722,PLUG_THERMOSTAT_DUMMY,69
