Part Number,Parts Description,Part Category,NDP,MRP,HSN Code,CGST Tax,SGST Tax,IGST Tax
3001587S01,"DECAL, OPERATION AND MAINTENANCE",Implements,79.23,113,39199090,9,9,18
3001588S01,INFORMATIONAL DECAL,Implements,65.55,94,39199090,9,9,18
3001589S01,NARROW RIM BUSH,Implements,65.55,94,73182200,9,9,18
3001590S01,FLAT WASHER,Fasteners,66.29,95,73182200,9,9,18
3001591S01,CYLINDER HEAD,Implements,9499.62,13571,84122100,9,9,18
3001592S01,BUSH,Implements,66.29,95,73182200,9,9,18
3001593S01,SPROCKET,Implements,7374.18,9703,84339000,6,6,12
3001594S01,NARROW RIM BUSH,Implements,75,106,73182200,9,9,18
3001595S01,LOCKNUT,Implements,15.1,22,73181600,9,9,18
3001596S01,HEX NUT,Implements,42.29,60,73181600,9,9,18
3001597S01,ROLLER CHAIN,Implements,13388.1,17616,84339000,6,6,12
3001598S01,COTTER PIN,Implements,54.15,77,73182400,9,9,18
3001599S01,FLANGE LOCKNUT,Implements,15.1,22,73181600,9,9,18
3001600S01,HEX NUT,Implements,45.31,65,73181600,9,9,18
3001601S01,LOCKWASHER,Fasteners,50.73,72,73182200,9,9,18
3001602S01,HEX TOP LOCK NUT,Implements,45.31,65,73181600,9,9,18
3001603S01,FLAT WASHER,Fasteners,50.73,72,73182200,9,9,18
3001604S01,WASHER,Fasteners,50.73,72,73182200,9,9,18
3001605S01,PIN,Implements,49.02,70,73182400,9,9,18
3001606S01,LOCKNUT,Implements,43.89,63,73181600,9,9,18
3001607S01,HEX LOCKNUT,Implements,42.18,60,73181600,9,9,18
3001608S01,BUSH,Implements,43.61,62,73182200,9,9,18
3001609S01,SPLIT PIN,Implements,21.14,30,73182400,9,9,18
3001610S01,FLAT WASHER,Fasteners,12.08,17,73182200,9,9,18
3001611S01,HEX FLANGE LOCKNUT,Implements,38.76,55,73181600,9,9,18
3001612S01,HEX NUT,Implements,38.76,55,73181600,9,9,18
3001613S01,HEX JAM NUT,Implements,38.76,55,73181600,9,9,18
3001614S01,HEX FLANGE NUT,Implements,38.76,55,73181600,9,9,18
3001615S01,PLAIN WASHER,Fasteners,111.15,159,73182200,9,9,18
3001616S01,"DECAL, TIE DOWN",Implements,38.76,55,39199090,9,9,18
3001617S01,HEX FLANGE NUT,Implements,37.05,53,73181600,9,9,18
3001618S01,FLAT WASHER,Fasteners,37.05,53,73182200,9,9,18
3001619S01,FLANGE LOCKNUT,Implements,52.44,75,73181600,9,9,18
3001620S01,WASHER,Fasteners,38.38,55,73182200,9,9,18
3001621S01,FLANGE LOCKNUT,Implements,33.63,48,73181600,9,9,18
3001622S01,PIN TERMINAL,Implements,49.02,70,73182400,9,9,18
3001623S01,GREASE FITTING,IMPLEMENTS,18.12,30,84099199,14,14,28
3001624S01,HEX NUT,Implements,31.92,46,73181600,9,9,18
3001625S01,HEX LOCKNUT,Implements,49.02,70,73181600,9,9,18
3001626S01,INFORMATIONAL DECAL,Implements,31.92,46,39199090,9,9,18
3001627S01,SLOTTED SPRING PIN,Implements,30.21,43,73182400,9,9,18
3001628S01,SLOTTED SPRING PIN,Implements,22.65,32,73182400,9,9,18
3001629S01,COTTER PIN,Implements,10.26,15,73182400,9,9,18
3001630S01,HEX JAM NUT,Implements,29.65,42,73181600,9,9,18
3001631S01,LOCK WASHER,Fasteners,28.5,41,73182200,9,9,18
3001632S01,LOCK WASHER,Fasteners,28.5,41,73182200,9,9,18
3001633S01,HEX NUT,Implements,18.81,27,73181600,9,9,18
3001634S01,BUSH,Implements,28.5,41,73182200,9,9,18
3001635S01,SPLIT PIN,Implements,26.79,38,73182400,9,9,18
3001636S01,FLAT WASHER,Fasteners,37.05,53,73182200,9,9,18
3001637S01,LOCKNUT,Implements,6.04,9,73181600,9,9,18
3001638S01,PLAIN WASHER,Fasteners,25.65,37,73182200,9,9,18
3001639S01,LOCK WASHER,Fasteners,26.79,38,73182200,9,9,18
3001640S01,HEX LOCKNUT,Implements,26.79,38,73181600,9,9,18
3001642S01,HEX NUT,Implements,19.38,28,73181600,9,9,18
3001643S01,SLOTTED SPRING PIN,Implements,19.38,28,73182400,9,9,18
3001644S01,SPROCKET,Implements,6584.16,8663,84339000,6,6,12
3001645S01,LOCKWASHER,Fasteners,9.06,13,73182200,9,9,18
3001646S01,HEX FLANGE LOCKNUT,Implements,18.81,27,73181600,9,9,18
3001647S01,FLAT WASHER,Fasteners,18.81,27,73182200,9,9,18
3001648S01,HEX JAM NUT,Implements,19.19,27,73181600,9,9,18
3001649S01,SPROCKET,Implements,5110.92,6725,84339000,6,6,12
3001650S01,LOCK WASHER,Fasteners,17.1,24,73182200,9,9,18
3001651S01,HEX CENTER LOCKNUT,Implements,10.26,15,73181600,9,9,18
3001652S01,WARNING DECAL,Implements,5574.6,7964,39199090,9,9,18
3001653S01,HEX NUT,Implements,13.68,20,73181600,9,9,18
3001654S01,FILTER,Implements,4497.87,6426,84213100,9,9,18
3001655S01,JAM NUT,Implements,31.72,45,73181600,9,9,18
3001656S01,LOCK WASHER,Fasteners,12.21,17,73182200,9,9,18
3001657S01,FLAT WASHER,Fasteners,9.06,13,73182200,9,9,18
3001658S01,HYDRAULIC HOSE,Implements,6442.71,9204,40091100,9,9,18
3001659S01,COTTER PIN,Implements,11.97,17,73182400,9,9,18
3001660S01,BEARING RETAINER,Implements,3985.44,5693,84821090,9,9,18
3001661S01,HEX FLANGE LOCKNUT,Implements,8.55,12,73181600,9,9,18
3001662S01,TUBE ROLLER,Implements,5951.55,9919,84099199,14,14,28
3001663S01,HEXT NUT,Implements,8.72,12,73181600,9,9,18
3001664S01,HEX LOCKNUT,Implements,8.55,12,73181600,9,9,18
3001665S01,HYDRAULIC HOSE,Implements,8.55,12,73182200,9,9,18
3001666S01,HEX NUT,Implements,6.84,10,73181600,9,9,18
3001667S01,FILTER,Implements,4887.18,6982,84213100,9,9,18
3001668S01,COTTER PIN,Implements,6.84,10,73182400,9,9,18
3001669S01,WORKLIGHT,Implements,3577.89,5111,85122010,9,9,18
3001670S01,HEX NUT,Implements,2.85,4,73181600,9,9,18
3001671S01,CRANK HANDLE,Implements,1215.72,1600,84339000,6,6,12
3001672S01,TRIPLE SLOT SHIM,Fasteners,1079.78,1543,73182200,9,9,18
3001673S01,PIN,Implements,1012.89,1447,73182400,9,9,18
3001674S01,BUSH,Implements,215.98,309,73182200,9,9,18
3001675S01,CLEVIS PIN,Implements,1386.81,1981,73182400,9,9,18
3001676S01,SHIM,Fasteners,217.17,310,73182200,9,9,18
3001677S01,SAFETY CHAIN CLEVIS,Implements,1518,1997,84339000,6,6,12
3001678S01,REDUCER BUSH,Implements,861.27,1230,73182200,9,9,18
3001679S01,CLEVIS PIN,Implements,989.52,1414,73182400,9,9,18
3001680S01,BUSH,Implements,190.3,272,73182200,9,9,18
3001681S01,HYDRAULIC HOSE,Implements,2591.79,3703,40091100,9,9,18
3001682S01,FLAT WASHER,Fasteners,808.83,1155,73182200,9,9,18
3001683S01,PISTON,Implements,4005.37,6676,84099199,14,14,28
3001684S01,ROLL OF CHAIN,Implements,5270.76,6935,84339000,6,6,12
3001685S01,HOSE ASSY,Implements,3311,5518,84099199,14,14,28
3001686S01,BUSH,Implements,739.86,1057,73182200,9,9,18
3001687S01,HYDRAULIC CYLINDER PISTON,Implements,2701.05,4502,84099199,14,14,28
3001688S01,TERMINAL PIN,Implements,1102.38,1575,73182400,9,9,18
3001689S01,PLUG 7 PIN SUP,Implements,2804.4,4006,73182400,9,9,18
3001690S01,HEX JAM NUT,Implements,714.78,1021,73181600,9,9,18
3001691S01,HINGE PIN,Implements,2832.9,4047,73182400,9,9,18
3001692S01,BRAKE DISC,Implements,888.06,1269,84839000,9,9,18
3001693S01,DECAL,Implements,3188.58,4555,39199090,9,9,18
3001694S01,FLAT WASHER,Fasteners,2723.82,3584,84339000,6,6,12
3001695S01,BUSH,Implements,6202,8858,73182200,9,9,18
3001696S01,SHUTTLE BUSHING,Implements,439.5,628,73182200,9,9,18
3001697S01,BUSH,Implements,2649.36,3785,73182200,9,9,18
3001698S01,"DECAL, MASSEY FERGUSON, LEFT HAND",Implements,1909.5,2728,39199090,9,9,18
3001699S01,HYDRAULIC HOSE,Implements,1101.02,1573,40091100,9,9,18
3001700S01,ROLLER,Implements,475.75,626,84339000,6,6,12
3001701S01,HITCH PIN,Implements,1754.46,2506,73182400,9,9,18
3001702S01,DECAL,Implements,2630.55,3758,39199090,9,9,18
3001703S01,SHIM,Fasteners,231.08,330,73182200,9,9,18
3001704S01,BEARING,Implements,2489.19,3556,84821090,9,9,18
3001705S01,DECAL,Implements,1710.57,2444,39199090,9,9,18
3001706S01,CHAIN,Implements,2507.34,3299,84339000,6,6,12
3001707S01,IDLER SPROCKET,Implements,844.27,1111,84339000,6,6,12
3001708S01,HYDRAULIC HOSE,Implements,1867.32,2668,40091100,9,9,18
3001709S01,JACK TUBE,Implements,1353,2255,84099199,14,14,28
3001710S01,CHAIN,Implements,1797.18,2365,84339000,6,6,12
3001711S01,WINDGUARD PIN,Implements,951.9,1360,73182400,9,9,18
3001712S01,DECAL,Implements,2242.95,3204,39199090,9,9,18
3001713S01,"DECAL, MASSEY FERGUSON, RIGHT HAND",Implements,1434.12,2049,39199090,9,9,18
3001714S01,HINGE PIN,Implements,1934.58,2764,73182400,9,9,18
3001715S01,"DANGER DECAL, SHIELD MISSING",Implements,1447.8,2068,39199090,9,9,18
3001716S01,BUSH,Implements,1384.96,1979,73182200,9,9,18
3001717S01,SHEAR BUSHING,Implements,711.36,1016,73182200,9,9,18
3001718S01,CHAIN,Implements,1623.6,2136,84339000,6,6,12
3001719S01,BUSH,Implements,1922.61,2747,73182200,9,9,18
3001720S01,SPACER TUBE,Implements,1593.35,2656,84099199,14,14,28
3001721S01,SHIM,Fasteners,244.67,350,73182200,9,9,18
3001722S01,CHUTE CHAIN,Implements,1488.96,1959,84339000,6,6,12
3001723S01,PIN,Implements,1285.92,1837,73182400,9,9,18
3001724S01,CRANK,Implements,2109.36,2775,84339000,6,6,12
3001725S01,KNIFE REINFORCEMENT,Implements,341.33,449,84339000,6,6,12
3001726S01,CLEVIS PIN,Implements,340.29,486,73182400,9,9,18
3001727S01,PIN AND CHAIN,Implements,1161.09,1659,73182400,9,9,18
3001728S01,FLAT WASHER,Fasteners,667.47,954,73182200,9,9,18
3001729S01,FILTER,Implements,741.57,1059,84213100,9,9,18
3001730S01,LUBRICATION TUBE,Implements,487.85,813,84099199,14,14,28
3001731S01,HINGE PIN,Implements,466.83,667,73182400,9,9,18
3001732S01,FLAT WASHER,Fasteners,296.4,423,73182200,9,9,18
3001733S01,CASTLE NUT,Implements,155.56,222,73181600,9,9,18
3001734S01,BUSH,Implements,433.2,619,73182200,9,9,18
3001735S01,TAPERED BEARING,Implements,785.46,1122,84821090,9,9,18
3001736S01,HANDLE,Implements,466.62,614,84339000,6,6,12
3001737S01,HYDRAULIC HOSE,Implements,5949.09,8499,40091100,9,9,18
3001738S01,KNIFE REINFORCEMENT,Implements,1422.72,1872,84339000,6,6,12
3001739S01,CHAIN,Implements,442.86,583,84339000,6,6,12
3001740S01,FLAT WASHER,Fasteners,281.58,402,73182200,9,9,18
3001741S01,INFORMATIONAL DECAL,Implements,453.15,647,39199090,9,9,18
3001742S01,WASHER,Fasteners,269.61,385,73182200,9,9,18
3001743S01,WIDE PLAIN WASHER,Fasteners,368.79,527,73182200,9,9,18
3001744S01,SINGLE SLOT SHIM,Fasteners,579.14,827,73182200,9,9,18
3001745S01,"DECAL, MODEL",Implements,244.53,349,39199090,9,9,18
3001746S01,HAIR PIN,Implements,119.7,171,73182400,9,9,18
3001747S01,HEX JAM NUT,Implements,174.99,250,73181600,9,9,18
3001748S01,REDUCER BUSH,Implements,445.17,636,73182200,9,9,18
3001749S01,HINGE PIN,Implements,235.98,337,73182400,9,9,18
3001750S01,"WARNING DECAL, ROTATING PARTS",Implements,190.38,272,39199090,9,9,18
3001751S01,SHIM,Fasteners,377.34,539,73182200,9,9,18
3001752S01,HEX FLANGE LOCKNUT,Implements,31.72,45,73181600,9,9,18
3001753S01,FLAT WASHER,Fasteners,244.53,349,73182200,9,9,18
3001754S01,"WARNING DECAL, CRUSHING",Implements,84.36,121,39199090,9,9,18
3001756S01,VALVE STEM,Implements,377.34,539,84818030,9,9,18
3001758S01,OILITE BUSHING,Implements,284.34,374,84339000,6,6,12
3001759S01,KEY,Implements,297.66,392,84339000,6,6,12
3001760S01,EYEBOLT,Fasteners,2105.01,3007,73181500,9,9,18
3001762S01,BEARING FLANGE,Implements,399.57,571,73072100,9,9,18
3001763S01,HEXAGONAL HEAD BOLT,Fasteners,5998.11,8569,73181500,9,9,18
3001764S01,SPACER,Implements,3608.1,5154,87089900,9,9,18
3001765S01,SPACER,Implements,1141.14,1630,87089900,9,9,18
3001766S01,HOSE CLAMP,Implements,431.49,616,73182990,9,9,18
3001769S01,HEXAGONAL HEAD BOLT,Fasteners,75.52,108,73181500,9,9,18
3001770S01,HEXAGONAL HEAD BOLT,Fasteners,87.78,125,73181500,9,9,18
3001771S01,HEX CAP SCREW,Implements,21.66,31,73181500,9,9,18
3001775S01,HEX FLANGE TOP LOCK NUT,Implements,21.14,30,73181500,9,9,18
3001777S01,PLAIN WASHER,Fasteners,26.17,34,84339000,6,6,12
3001778S01,PLOW BOLT,Fasteners,37.76,54,84839000,9,9,18
3001779S01,BEARING CUP,Implements,281.16,370,84339000,6,6,12
3001780S01,WIRE,Implements,189.42,249,84339000,6,6,12
3001781S01,SCREW,Implements,310.08,443,73181500,9,9,18
3001782S01,TENSION SPRING,Implements,1837.11,2624,73209090,9,9,18
3001783S01,LATCH,Implements,653.4,860,84339000,6,6,12
3001784S01,CAMLOCK FASTENER,Implements,1564.86,2059,84339000,6,6,12
3001785S01,EYEBOLT,Fasteners,412.32,589,73181500,9,9,18
3001786S01,U-BOLT,Fasteners,222.3,318,73181500,9,9,18
3001787S01,ROUND HEAD SQUARE NECK CARRIAGE BOLT,Fasteners,40.47,58,73181500,9,9,18
3001789S01,CARRIAGE BOLT,Fasteners,58.71,84,73181500,9,9,18
3001791S01,HUB,Implements,10135.62,13336,84339000,6,6,12
3001792S01,GRIP,Implements,331.98,437,84339000,6,6,12
3001793S01,GROMMET,Implements,81.84,108,84339000,6,6,12
3001794S01,CONVEYOR BELT,Implements,11663.91,16663,40103912,9,9,18
3001795S01,HAY BAR RESISTOR,Implements,1377.12,2335,85332111,9,9,18
3001796S01,SEAL,Implements,360.81,515,40169310,9,9,18
3001797S01,DOUBLE LIP SEAL,Implements,362.52,518,40169310,9,9,18
3001798S01,SPROCKET,Implements,11427.56,15036,84339000,6,6,12
3001799S01,V-BELT,Implements,10758.75,15370,40103912,9,9,18
3001800S01,GIB KEY,Implements,209.93,276,84339000,6,6,12
3001802S01,SMV SUPPORT,Implements,3982.44,5240,84339000,6,6,12
3001803S01,STOP CLAMP,Implements,3514.5,4624,84339000,6,6,12
3001804S01,BALE CHUTE SHIELD,Implements,3730.98,4909,84339000,6,6,12
3001805S01,CHUTE ROD,Implements,3176.58,4180,84339000,6,6,12
3001806S01,SHEAVE,Implements,16762.02,22055,84339000,6,6,12
3001807S01,LIGHT WIRE HARNESS,Electricals,17980.08,25686,85443000,9,9,18
3001808S01,SPACER,Implements,1851.93,2646,87089900,9,9,18
3001809S01,PLATED SPACER,Implements,188.79,248,84339000,6,6,12
3001810S01,HUB,Implements,14799.18,19473,84339000,6,6,12
3001811S01,SPACER,Implements,365.94,523,87089900,9,9,18
3001812S01,DRAW SCREW,Implements,2501.16,3573,73181500,9,9,18
3001813S01,SPACER,Implements,342,489,87089900,9,9,18
3001814S01,TENSION BRACKET,Sheet Metal,247.5,326,84339000,6,6,12
3001815S01,CHANNEL,Implements,4823.94,6347,84339000,6,6,12
3001816S01,BEARING MOUNT,Implements,3783.35,4978,84339000,6,6,12
3001816X01,O-RING,IMPLEMENTS,3.99,7,40169330,9,9,18
3001817S01,EXTENSION SPRING,Implements,11353.83,16220,73209090,9,9,18
3001818S01,BALE TABLE,Implements,13505.58,17771,84339000,6,6,12
3001819S01,ROLLER SHAFT,Implements,3243.87,4268,84339000,6,6,12
3001820S01,BALE TABLE,Implements,21510.06,28303,84339000,6,6,12
3001821S01,SPACER,Implements,2049.15,2927,87089900,9,9,18
3001822S01,SPACER,Implements,1863.9,2663,87089900,9,9,18
3001823S01,LINK ROD,Implements,9781.86,12871,84339000,6,6,12
3001824S01,SHEAR ARM,Implements,14621.64,19239,84339000,6,6,12
3001825S01,SPACER,Implements,679.64,971,87089900,9,9,18
3001826S01,"CHAIN BRACKET, RIGHT HAND",Sheet Metal,2725.8,3587,84339000,6,6,12
3001827S01,SPACER,Implements,1464.33,2092,87089900,9,9,18
3001828S01,FUSE HOLDER,Implements,737.88,971,84339000,6,6,12
3001829S01,HEX NUT,Implements,370.03,529,84839000,9,9,18
3001830S01,SHEAVE,Implements,4035.24,5310,84339000,6,6,12
3001831S01,WIRE ROLLER,Implements,8048.66,10590,84339000,6,6,12
3001832S01,EXTENSION SPRING,Implements,584.82,835,73209090,9,9,18
3001834S01,CARRIAGE BOLT,Fasteners,23.37,33,73181500,9,9,18
3001835S01,ROUND HEAD SQUARE NECK CARRIAGE BOLT,Fasteners,34.74,50,73181500,9,9,18
3001836S01,HEXAGONAL HEAD BOLT,Fasteners,124.83,178,73181500,9,9,18
3001837S01,HEXAGONAL HEAD BOLT,Fasteners,57.57,82,73181500,9,9,18
3001838S01,HEX CAP SCREW,Implements,82.65,118,73181500,9,9,18
3001839S01,HEXAGONAL HEAD BOLT,Fasteners,102.6,147,73181500,9,9,18
3001840S01,HEXAGON FLANGE BOLT,Fasteners,72.39,103,73181500,9,9,18
3001841S01,SERRATED FLANGE SCREW,Implements,57.57,82,73181500,9,9,18
3001842S01,SERRATED FLANGE SCREW,Implements,50.73,72,73181500,9,9,18
3001843S01,HEX CAP SCREW,Implements,19.95,29,73181500,9,9,18
3001844S01,HEXAGONAL HEAD BOLT,Fasteners,21.66,31,73181500,9,9,18
3001845S01,HEX CAP SCREW,Implements,91.2,130,73181500,9,9,18
3001846S01,HEXAGONAL HEAD BOLT,Fasteners,148.27,195,84339000,6,6,12
3001847S01,WIRE,Implements,612.48,806,84339000,6,6,12
3001849S01,PISTON ROD,Implements,9585.18,12612,84339000,6,6,12
3001850S01,SPRING,Implements,249.66,357,73209090,9,9,18
3001851S01,COMPRESSION SPRING,Implements,3958.65,5655,73209090,9,9,18
3001852S01,CARRIAGE BOLT,Fasteners,198.93,284,73181500,9,9,18
3001853S01,SQUARE HEAD SET SCREW,Implements,620.74,887,73181500,9,9,18
3001854S01,ROUND HEAD SQUARE NECK CARRIAGE BOLT,Fasteners,933.66,1334,73181500,9,9,18
3001855S01,BUSH,Implements,34.89,50,73182200,9,9,18
3001856S01,HEX CAP SCREW,Implements,45.31,65,73181500,9,9,18
3001857S01,HEX SOCKET HEAD CAPSCREW,Implements,373.3,533,73181500,9,9,18
3001858S01,PLUNGER,Implements,136255.03,179283,84339000,6,6,12
3001859S01,PLUNGER SHAFT,Implements,4497.73,5918,84339000,6,6,12
3001860S01,EXTENSION SPRING,Implements,416.85,596,73209090,9,9,18
3001861S01,COMPRESSION SPRING,Implements,117.8,168,73209090,9,9,18
3001862S01,CAM,Implements,11774.45,16821,84834000,9,9,18
3001863S01,HEX CAP SCREW,Implements,18.84,27,73181500,9,9,18
3001864S01,CARRIAGE BOLT,Fasteners,50.73,72,73181500,9,9,18
